driverId,week,hours-logged,miles-logged
91,16,53,2200
87,9,80,1900
72,23,66,3200
37,44,51,1700
12,23,72,3300
14,3,58,1900
103,30,52,3500
64,28,71,3200
27,39,53,1000
27,36,70,600
14,35,74,3700
68,46,63,3500
26,32,71,3800
60,22,68,1300
13,28,63,3800
84,48,80,1600
46,18,60,600
62,10,80,1800
30,7,60,2200
81,52,54,700
56,12,51,4000
91,24,51,3400
72,43,61,1000
23,51,51,2500
52,5,55,4000
22,2,65,300
95,49,62,3500
99,38,74,1700
39,39,50,3900
84,3,67,3600
103,37,76,3500
103,29,76,500
43,34,73,3100
38,22,64,2800
96,5,51,1500
65,45,53,3900
55,29,56,1200
100,12,72,3900
12,39,64,1700
58,1,67,3200
50,45,58,2900
35,20,79,500
46,34,52,3800
94,4,68,2600
34,6,80,1600
85,5,71,600
78,26,69,2400
43,48,70,1400
99,22,78,200
84,11,70,300
46,28,73,400
96,6,58,2800
41,9,56,2400
18,7,60,3800
61,52,62,1800
23,28,69,2600
105,46,77,2000
15,9,70,3600
56,1,68,3600
56,20,61,3600
77,38,52,3800
48,11,74,3700
80,33,56,1800
67,22,51,3200
90,22,70,900
94,2,72,1800
82,38,59,1000
22,36,71,1300
108,18,65,500
95,6,61,2200
56,2,63,2300
53,8,79,2400
103,11,54,1000
13,43,65,2800
14,21,55,2400
16,6,52,1400
22,51,57,2600
17,21,72,3700
53,27,78,3300
56,25,63,2100
64,22,79,400
32,44,79,3000
52,8,79,3600
41,23,76,200
11,52,53,2500
57,14,70,1400
64,9,69,200
46,38,61,3000
83,13,54,1000
13,13,73,900
52,35,64,3700
20,5,72,1900
51,30,66,2200
99,31,63,3900
12,41,54,900
29,46,73,700
41,2,58,300
106,24,68,2000
88,36,71,800
97,36,77,600
109,15,54,1500
53,24,66,400
67,31,78,2300
104,18,64,3200
59,51,55,3600
81,29,67,600
54,12,67,2500
63,29,74,1700
75,28,70,3400
78,42,56,800
25,37,80,1500
74,25,77,700
52,16,61,3400
81,2,79,3700
79,5,50,3600
53,5,63,3900
17,50,58,2300
35,3,77,800
87,26,59,2500
12,41,54,2700
38,36,75,1100
42,25,64,1000
23,47,77,3100
60,52,56,2200
36,38,67,1100
85,8,70,3300
76,11,71,3900
88,12,62,2800
73,20,64,2200
19,34,74,3100
102,13,67,2500
28,4,54,1900
35,40,74,1500
27,4,61,3000
72,2,67,1000
101,33,58,1800
34,7,63,2300
69,15,66,2600
35,9,62,1000
44,45,67,2600
78,16,50,400
107,30,64,2000
45,46,67,1600
58,28,63,2300
21,45,79,500
72,43,73,2800
14,27,63,1400
51,35,74,3300
13,7,73,1000
102,26,73,3300
50,20,78,3600
107,21,73,2700
104,47,72,2100
40,45,62,3100
99,49,63,1600
23,16,57,3900
40,50,60,2900
35,11,73,1500
93,44,54,3500
90,5,78,3200
90,6,72,2000
73,33,69,1100
